DATE,PRICE,AMOUNT,LEVERAGE,ACTION,SIDE,PROFIT (USDT),ROE(%)
,34608.480000,0.015000,2,BUY,LONG,0.000000,0.000000
,33585.910000,0.015000,2,SELL,LONG,-15.338550,-5.909361
,33585.910000,0.015000,2,BUY,SHORT,0.000000,0.000000
,34710.380000,0.015000,2,SELL,SHORT,-16.867050,-6.696082
,34710.380000,0.015000,2,BUY,LONG,0.000000,0.000000
,33305.650000,0.015000,2,SELL,LONG,-21.070950,-8.094005
,33305.650000,0.015000,2,BUY,SHORT,0.000000,0.000000
,33948.680000,0.015000,2,SELL,SHORT,-9.645450,-3.861387
,33948.680000,0.015000,2,BUY,LONG,0.000000,0.000000
,32822.850000,0.015000,2,SELL,LONG,-16.887450,-6.632541
,32822.850000,0.015000,2,BUY,SHORT,0.000000,0.000000
,32144.510000,0.015000,2,SELL,SHORT,10.175100,4.133340
,32144.510000,0.015000,2,BUY,LONG,0.000000,0.000000
,39705.120000,0.015000,2,SELL,LONG,113.409150,47.041377
,39705.120000,0.015000,2,BUY,SHORT,0.000000,0.000000
,40862.460000,0.015000,2,SELL,SHORT,-17.360100,-5.829676
,40862.460000,0.015000,2,BUY,LONG,0.000000,0.000000
,45730.000000,0.015000,2,SELL,LONG,73.013100,23.824018
,45730.000000,0.015000,2,BUY,SHORT,0.000000,0.000000
,47054.740000,0.015000,2,SELL,SHORT,-19.871100,-5.793746
,47054.740000,0.015000,2,BUY,LONG,0.000000,0.000000
,47975.930000,0.015000,2,SELL,LONG,13.817850,3.915397
,47975.930000,0.015000,2,BUY,SHORT,0.000000,0.000000
,48852.990000,0.015000,2,SELL,SHORT,-13.155900,-3.656250
,48852.990000,0.015000,2,BUY,LONG,0.000000,0.000000
,47902.760000,0.015000,2,SELL,LONG,-14.253450,-3.890161
,47902.760000,0.015000,2,BUY,SHORT,0.000000,0.000000
,49561.240000,0.015000,2,SELL,SHORT,-24.877200,-6.924361
,49561.240000,0.015000,2,BUY,LONG,0.000000,0.000000
,46694.590000,0.015000,2,SELL,LONG,-42.999750,-11.568113
,46694.590000,0.015000,2,BUY,SHORT,0.000000,0.000000
,46474.890000,0.015000,2,SELL,SHORT,3.295500,0.941008
,46474.890000,0.015000,2,BUY,LONG,0.000000,0.000000
,45542.760000,0.015000,2,SELL,LONG,-13.981950,-4.011327
,45542.760000,0.015000,2,BUY,SHORT,0.000000,0.000000
,44818.460000,0.015000,2,SELL,SHORT,10.864500,3.180747
,44818.460000,0.015000,2,BUY,LONG,0.000000,0.000000
,41527.500000,0.015000,2,SELL,LONG,-49.364400,-14.685734
,41527.500000,0.015000,2,BUY,SHORT,0.000000,0.000000
,44038.750000,0.015000,2,SELL,SHORT,-37.668750,-12.094395
,44038.750000,0.015000,2,BUY,LONG,0.000000,0.000000
,42147.350000,0.015000,2,SELL,LONG,-28.371000,-8.589708
,42147.350000,0.015000,2,BUY,SHORT,0.000000,0.000000
,43072.290000,0.015000,2,SELL,SHORT,-13.874100,-4.389078
,43072.290000,0.015000,2,BUY,LONG,0.000000,0.000000
